که	1497746
رو	1348950
به	1314499
من	1263732
و	1048663
از	980699
تو	968244
این	881163
یه	847445
اون	723549
می	591888
نه	543759
با	470717
در	449699
ما	399303
چی	374366
خیلی	352472
ش	347223
باید	340002
هم	322258
بود	307036
باشه	304463
برای	302181
آره	299623
کنم	291138
کن	278010
تا	273810
اینجا	262470
فکر	250707
دیگه	248256
ت	241466
نیست	240509
خب	229735
شما	221676
فقط	214800
کار	210174
ها	208927
داره	202018
اگه	191633
همه	188444
چیزی	186852
دارم	185885
شده	181090
ولی	179574
کنی	177352
چه	173117
توی	172333
یک	167188
داری	160491
خوب	153718
اما	153176
پس	152072
میشه	151355
نمی	151304
چرا	145676
م	142606
میکنم	138754
حالا	136895
کردم	135580
کنه	133947
درست	132185
وقتی	131490
الان	128955
اونا	125951
ای	124970
کنیم	124780
هر	123799
ی	123369
خود	122608
اوه	120912
یا	120098
شد	119664
بله	115728
هی	115197
دوست	113690
های	113331
منو	112155
بیا	111310
دست	110160
اینکه	110042
سلام	109041
کجا	108314
چیه	106540
هست	105673
برو	105531
بعد	103611
بهم	102922
مثل	102383
خوبه	102349
همین	99569
بده	99323
کی	99273
پیدا	98154
هیچ	98065
میکنی	97240
یکی	96582
کرد	93987
حرف	93900
ه	93740
کردی	92436
بیرون	89395
میکنه	89199
کسی	89134
بچه	88774
واقعا	88667
کردن	88167
بریم	87909
میخوام	87649
کرده	84644
ست	83356
ممنون	82735
میدونی	80764
اونجا	80167
داریم	79807
کاری	78450
واسه	78233
را	78127
پیش	77875
خونه	76301
شاید	76004
بودم	75742
سر	75094
چیز	74402
باش	74125
هستم	73906
چون	73765
روی	73162
چیکار	72990
کنید	72977
میاد	71539
انجام	71534
دو	71215
نداره	71213
پدر	69092
کمک	68638
وقت	68544
منم	68283
میخوای	68037
داشته	67745
هستی	67693
مورد	66912
زندگی	66429
هنوز	66273
اینه	65685
بشه	65675
لعنتی	65336
میدونم	65263
روز	64597
است	64494
تمام	64297
اینو	63639
مرد	63560
نظر	62912
راه	61807
همیشه	61150
ببین	60894
بیشتر	57638
چی؟	57588
صبر	56976
تنها	56428
اسم	56199
متاسفم	56061
باشی	55895
سال	55722
آقای	55154
چند	54663
پسر	54512
گوش	54512
نگاه	54304
بگو	54253
خودم	53867
نمیدونم	53500
قربان	53452
دوباره	52765
خدای	52581
چطور	51633
بوده	51578
ببخشید	51472
بدم	51363
خوبی	50655
اونو	50255
بی	50083
خدا	49940
حتی	49609
گفتم	49387
بدی	48752
بگم	48461
خواهش	48353
برم	48250
بر	48103
عزیزم	48060
دارن	47421
هستن	47421
شروع	47252
صحبت	47245
البته	46913
تموم	46573
بازی	46031
قبل	45729
گفت	44840
آدم	44773
میتونم	44592
نفر	44571
شو	44514
مادر	44365
میگم	44074
پول	43874
کنین	43853
بار	43609
دنبال	43604
چیه؟	43474
خانم	43462
خوش	43223
میتونی	43190
قرار	43082
حال	43020
شدم	42989
شب	42759
نکن	42561
میدم	42304
ممکنه	42197
بابا	41962
داشتم	41838
لطفا	41744
شدن	41181
کنن	40970
وجود	40860
باشم	40629
اصلا	40617
مردم	40500
باز	40389
یعنی	40206
امروز	40110
خاطر	40077
همون	40074
دختر	40061
اگر	39848
داشت	39495
بودی	39490
ببینم	39395
یالا	39320
دونم	39314
بدون	39126
مگه	39124
هیچی	38991
بزرگ	38930
نیستم	38930
سه	38926
استفاده	38916
بالا	38787
بودن	38085
کنار	38071
ساعت	37899
نمیتونم	37854
چقدر	37780
برات	37344
حالت	37344
بذار	37258
کردیم	36984
ندارم	36896
اول	36849
بری	36842
سعی	36250
زود	36229
کم	36207
اونها	36161
آماده	35714
مامان	35705
ام	35616
درباره	35554
نبود	35511
بخاطر	35332
مطمئن	35170
باهاش	34960
اتفاقی	34874
زنده	34804
ازت	34484
میکنیم	33956
ماشین	33936
جایی	33789
بین	33775
میده	33653
نمیشه	33574
بزن	33507
نیاز	33359
شدی	33156
زن	33074
دور	32924
آروم	32713
هیچوقت	32638
بهتر	32490
عالیه	32338
داد	32280
چطوری	32195
خوام	32072
یاد	31888
زنگ	31883
دنیا	31861
منه	31639
گفتی	31610
زمین	31428
تونم	31424
طرف	31393
حتما	31376
جا	31287
زیادی	30683
میکنن	30499
جای	30450
میگی	30450
شهر	30395
او	30297
مشکلی	30282
خبر	30034
پایین	30033
نباید	30019
برام	29966
زمان	29651
داده	29538
اینا	29501
دکتر	29410
میخواد	29320
فرار	29192
زیاد	29026
دقیقه	29021
مرده	28899
منظور	28865
میتونه	28807
آه	28742
مال	28677
باعث	28426
پلیس	28401
مهم	28162
اجازه	28110
میکردم	28084
نگه	28068
میرم	27996
اتفاق	27897
بد	27887
نگران	27840
پشت	27762
نشون	27629
لحظه	27487
رفیق	27227
دل	27201
صبح	27193
سمت	27188
کارو	27009
اینکارو	26957
نجات	26873
کاملا	26833
بگی	26654
بهتره	26553
بگیر	26503
میگه	26383
دقیقا	26348
ادامه	26342
باور	26296
بسیار	26289
اولین	26060
دیدم	26051
جواب	25894
هستیم	25853
آب	25849
حرکت	25588
ممنونم	25552
داخل	25454
دادم	25357
بیاد	25294
همچین	25089
لازم	24964
همینطور	24950
قراره	24909
خون	24881
وای	24803
تونی	24734
رفته	24656
نیستی	24554
مشکل	24295
بهترین	24129
بزنم	24091
اره	24090
احساس	23937
اشتباه	23738
وارد	23504
بره	23468
قبلا	23468
اتاق	23398
تر	23325
بقیه	23301
جنگ	23295
قول	23270
انتخاب	23220
شلیک	23219
بدیم	23077
دونی	22989
بکنم	22781
امشب	22761
حق	22712
کدوم	22703
اومد	22632
وایسا	22592
اومده	22558
بخیر	22536
نمیاد	22443
هفته	22439
بهشون	22417
منظورت	22415
اعتماد	22398
حمله	22273
کارت	22187
جان	22088
باهات	22084
نزدیک	21944
ازدواج	21808
بکنی	21756
زیر	21749
گرفته	21708
حقیقت	21661
دار	21585
متوجه	21573
آخرین	21543
دادی	21534
مرگ	21486
جدید	21426
دادن	21327
جدی	21324
چطوره	21320
باشیم	21293
گفته	21175
عالی	21127
فردا	21122
یکم	20731
هستند	20694
بشی	20688
میتونیم	20661
نمیخوام	20547
بشم	20497
ماه	20398
میره	20353
خوای	20344
برید	20268
اش	20261
رفت	20254
رئیس	20112
برادر	19873
نداری	19777
عوض	19716
افتاده	19658
هرگز	19617
گرفتم	19538
خواهد	19535
دروغ	19466
بلند	19458
کیه	19425
انگار	19382
گم	19381
اومدی	19371
عقب	19287
قضیه	19263
حس	19071
موضوع	19033
نمیکنم	19021
تماس	18953
پیداش	18953
عشق	18922
افتاد	18897
قبول	18875
جور	18873
تازه	18841
نباش	18840
موقع	18800
داشتی	18698
اه	18682
منتظر	18682
خانواده	18674
سریع	18659
لباس	18654
شبیه	18635
غیر	18617
خفه	18601
اینطوری	18597
نمیتونی	18583
بهتون	18539
جلوی	18504
اندازه	18499
باشید	18468
نه،	18380
همینه	18332
آقا	18315
واقعی	18303
احمق	18281
کافی	18270
میریم	18219
خوبم	18214
لعنت	18174
پر	18159
براش	18097
بس	17992
زمانی	17992
نقشه	17948
برنامه	17895
بگیرم	17758
بعضی	17725
اومدم	17646
میام	17646
نشده	17621
ازم	17592
توئه	17537
میگن	17532
بزنی	17510
بشین	17497
دارین	17480
آخر	17448
خوشحالم	17415
عنوان	17406
مراقب	17370
کل	17357
رد	17328
کشتی	17175
مجبور	17166
فیلم	17155
جمع	17076
گروه	17070
آن	17061
راست	17050
دیوونه	16998
کشته	16986
اینجوری	16960
دیدی	16899
شه	16897
یادت	16777
عاشق	16775
اینقدر	16713
بودیم	16705
متشکرم	16582
چشم	16546
کس	16501
اینطور	16481
احتمالا	16376
چرا؟	16353
روش	16346
انجامش	16340
شماره	16299
میدی	16294
درد	16150
تصمیم	16111
گذشته	16091
تغییر	16038
امیدوارم	16014
موفق	15998
ترک	15972
بدن	15939
میشم	15924
بیاین	15876
صورت	15875
گیر	15862
میری	15837
تیم	15795
بیخیال	15787
زده	15767
شنیدم	15731
خداحافظ	15698
درسته	15597
خوشم	15588
خدایا	15583
چیزیه	15583
اسلحه	15519
هایی	15503
باشن	15502
نداریم	15476
فراموش	15455
میشن	15434
خارج	15307
اینجاست	15295
فهمیدم	15259
میکرد	15231
داستان	15220
قدرت	15208
کنترل	15204
میشی	15158
زودباش	15152
همش	15146
جون	15137
دارید	15095
رفتن	15023
صدای	14986
اونم	14957
بیار	14949
ده	14947
یارو	14931
کننده	14908
مدت	14894
معذرت	14889
احتیاج	14888
افراد	14864
سخت	14857
دلار	14838
جدا	14829
هیچکس	14807
کنند	14786
هستش	14758
خودمون	14752
طول	14736
میخواستم	14692
آیا	14685
تکون	14669
بگیری	14635
سوال	14553
کلی	14528
خوشحال	14498
پنج	14451
مبارزه	14443
غذا	14413
خواب	14401
نکنم	14394
بزار	14369
مدرسه	14311
شده؟	14260
مردی	14259
راجع	14252
میان	14234
پادشاه	14113
توسط	14072
باشین	14038
بهمون	13992
مرسی	13949
بخش	13940
نکردم	13934
جک	13924
دیده	13899
بیام	13860
عجله	13840
تحت	13797
شرکت	13790
دلیل	13676
دیر	13676
تبدیل	13653
تونه	13646
همدیگه	13639
شوخی	13583
زدن	13554
شدیم	13517
دفعه	13466
تقریبا	13452
درک	13421
پسرم	13419
میزنم	13381
کوچولو	13330
شانس	13289
شکست	13268
بیای	13261
واقعا؟	13242
بمون	13150
طور	13142
بزنیم	13137
اینم	13122
بیدار	13068
بتونم	13059
محافظت	13017
چهار	13017
بکش	12945
برین	12894
راستش	12892
داشتیم	12886
بعدا	12882
برگرد	12849
کمی	12842
بدونم	12834
خوبیه	12829
خورده	12815
داشتن	12760
بگیره	12756
هدف	12718
گرفتن	12656
دوتا	12601
بخوای	12579
نمیتونه	12575
صدا	12572
سری	12551
عوضی	12542
میکنی؟	12535
عکس	12522
کتاب	12508
حساب	12482
راحت	12465
گفتن	12461
نابود	12448
زد	12430
توجه	12422
بشیم	12404
خودشه	12393
انسان	12367
نمیکنه	12343
ببینی	12294
بعدی	12283
پرونده	12251
اینکار	12244
گرفتی	12231
افتخار	12199
اوه،	12181
شماها	12174
مخفی	12149
بالاخره	12124
بازم	12109
اطلاعات	12104
باهم	12098
قسمت	12079
ترین	12034
میزنی	11934
مونده	11925
زدم	11920
حداقل	11904
جلو	11833
بنظر	11832
پیشنهاد	11743
میرسه	11720
گرفت	11693
رفتار	11680
ملاقات	11668
آزاد	11651
هزار	11643
بزنه	11628
زندان	11552
کافیه	11552
بکنیم	11549
بسته	11547
سوار	11478
خواستم	11473
چکار	11430
کوچیک	11424
نظرت	11421
قتل	11414
معلومه	11388
همسر	11384
آینده	11377
سگ	11356
نزن	11350
پرواز	11305
مطمئنی	11281
جوری	11274
بگیریم	11261
تلفن	11248
مواظب	11224
بدونی	11221
توش	11153
همینجا	11128
سیاه	11120
چیزا	11114
بیارم	11086
واقع	11072
مامور	11044
دختره	11010
